#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADM	PTHLH	9606.ENSP00000436607	9606.ENSP00000441765	0	0	0	0	0	0	0.500	0.269	0.618
IMMT	NDUFAB1	9606.ENSP00000387262	9606.ENSP00000458770	0	0	0	0	0.673	0.132	0	0.066	0.711
IPO4	NOC2L	9606.ENSP00000346453	9606.ENSP00000317992	0	0	0	0	0.850	0	0	0.221	0.878
MRPL9	MRPS9	9606.ENSP00000357823	9606.ENSP00000258455	0	0	0	0	0.684	0.944	0	0.457	0.989
MRPL9	RPL26L1	9606.ENSP00000357823	9606.ENSP00000428223	0	0	0	0	0.285	0.537	0	0.253	0.731
MRPL9	SMKR1	9606.ENSP00000357823	9606.ENSP00000454370	0	0	0	0	0.366	0.526	0	0.223	0.746
MRPL9	MRPS33	9606.ENSP00000357823	9606.ENSP00000376732	0	0	0	0	0.285	0.823	0	0	0.868
MRPL9	NDUFAB1	9606.ENSP00000357823	9606.ENSP00000458770	0.295	0	0	0	0.269	0.800	0	0.161	0.902
MRPS33	MRPS9	9606.ENSP00000376732	9606.ENSP00000258455	0	0	0	0	0.099	0.821	0.800	0.287	0.973
MRPS33	NDUFA6	9606.ENSP00000376732	9606.ENSP00000418842	0	0	0	0	0.423	0	0	0.055	0.431
MRPS33	RPL26L1	9606.ENSP00000376732	9606.ENSP00000428223	0	0	0	0	0.351	0.133	0	0.324	0.587
MRPS9	SMKR1	9606.ENSP00000258455	9606.ENSP00000454370	0.167	0	0	0	0.403	0.524	0	0.223	0.791
MRPS9	RPL26L1	9606.ENSP00000258455	9606.ENSP00000428223	0.185	0	0	0	0.469	0.542	0	0.253	0.832
NDUFA6	NDUFAF1	9606.ENSP00000418842	9606.ENSP00000260361	0	0	0	0	0.088	0.270	0.900	0.414	0.955
NDUFA6	NDUFV2	9606.ENSP00000418842	9606.ENSP00000327268	0	0	0	0	0.918	0.998	0.900	0.608	0.999
NDUFA6	NDUFAF5	9606.ENSP00000418842	9606.ENSP00000367346	0	0	0	0	0.096	0	0.600	0.125	0.656
NDUFA6	NDUFAB1	9606.ENSP00000418842	9606.ENSP00000458770	0	0	0	0	0.885	0.998	0.900	0.767	0.999
NDUFAB1	NDUFAF1	9606.ENSP00000458770	9606.ENSP00000260361	0	0	0	0	0.110	0	0.900	0.653	0.966
NDUFAB1	NDUFV2	9606.ENSP00000458770	9606.ENSP00000327268	0	0	0	0	0.741	0.987	0.900	0.606	0.999
NDUFAB1	NDUFAF5	9606.ENSP00000458770	9606.ENSP00000367346	0	0	0	0	0.106	0.192	0.600	0.583	0.863
NDUFAB1	SUCLG1	9606.ENSP00000458770	9606.ENSP00000377446	0	0	0	0	0.366	0.117	0	0.317	0.585
NDUFAB1	RPL26L1	9606.ENSP00000458770	9606.ENSP00000428223	0	0	0	0	0.249	0.251	0	0	0.413
NDUFAF1	NDUFAF5	9606.ENSP00000260361	9606.ENSP00000367346	0	0	0	0	0.093	0	0.600	0.768	0.908
NDUFAF1	NDUFV2	9606.ENSP00000260361	9606.ENSP00000327268	0	0	0	0	0.456	0	0.900	0.523	0.971
NDUFAF5	NDUFV2	9606.ENSP00000367346	9606.ENSP00000327268	0.047	0	0	0	0.083	0	0	0.524	0.548
NDUFV2	SUCLG1	9606.ENSP00000327268	9606.ENSP00000377446	0.050	0	0	0	0.680	0.368	0	0.099	0.803
NOC2L	TTC27	9606.ENSP00000317992	9606.ENSP00000313953	0	0	0	0	0.676	0	0	0	0.676
PRPF3	SNRPC	9606.ENSP00000315379	9606.ENSP00000244520	0	0	0	0	0.100	0.849	0	0.700	0.956
PSMA1	PSMA2	9606.ENSP00000414359	9606.ENSP00000223321	0	0	0.346	0.815	0.991	0.997	0.900	0.918	0.999
PSMA1	UFD1L	9606.ENSP00000414359	9606.ENSP00000263202	0	0	0	0	0.647	0	0	0.118	0.675
PSMA1	PSMD3	9606.ENSP00000414359	9606.ENSP00000264639	0	0	0	0	0.833	0.996	0.900	0.689	0.999
PSMA1	PSMD2	9606.ENSP00000414359	9606.ENSP00000310129	0	0	0	0	0.573	0.996	0.800	0.642	0.999
PSMA1	UCHL3	9606.ENSP00000414359	9606.ENSP00000366819	0	0	0	0	0.288	0	0	0.201	0.407
PSMA1	UBBP4	9606.ENSP00000414359	9606.ENSP00000464265	0	0	0	0	0.084	0.376	0	0.055	0.412
PSMA1	SPCS1	9606.ENSP00000414359	9606.ENSP00000478310	0	0	0	0	0.474	0	0	0	0.474
PSMA1	RPL26L1	9606.ENSP00000414359	9606.ENSP00000428223	0	0	0.288	0	0.188	0	0	0.221	0.511
PSMA2	RPL26L1	9606.ENSP00000223321	9606.ENSP00000428223	0	0	0.385	0	0.240	0	0	0	0.513
PSMA2	UCHL3	9606.ENSP00000223321	9606.ENSP00000366819	0	0	0	0	0.353	0.244	0	0.190	0.569
PSMA2	PSMD3	9606.ENSP00000223321	9606.ENSP00000264639	0	0	0	0	0.591	0.993	0.900	0.543	0.999
PSMA2	PSMD2	9606.ENSP00000223321	9606.ENSP00000310129	0	0	0	0	0.673	0.996	0.800	0.476	0.999
PSMD2	UFD1L	9606.ENSP00000310129	9606.ENSP00000263202	0	0	0	0	0.133	0.282	0	0.345	0.557
PSMD2	PSMD3	9606.ENSP00000310129	9606.ENSP00000264639	0	0	0	0	0.924	0.995	0.800	0.882	0.999
PSMD2	UCHL3	9606.ENSP00000310129	9606.ENSP00000366819	0	0	0	0	0.082	0	0	0.699	0.712
PSMD2	UBBP4	9606.ENSP00000310129	9606.ENSP00000464265	0	0	0	0	0.062	0.729	0	0.126	0.758
PSMD3	UBBP4	9606.ENSP00000264639	9606.ENSP00000464265	0	0	0	0	0.066	0.524	0	0.109	0.569
ROCK2	SARNP	9606.ENSP00000317985	9606.ENSP00000337632	0	0	0	0	0.062	0.388	0	0	0.401
RPL26L1	WDR61	9606.ENSP00000428223	9606.ENSP00000267973	0	0	0	0	0.163	0.353	0	0.044	0.437
RPL26L1	SMKR1	9606.ENSP00000428223	9606.ENSP00000454370	0.073	0	0	0	0.344	0.348	0	0.154	0.619
SARNP	SNRPC	9606.ENSP00000337632	9606.ENSP00000244520	0	0	0	0	0.203	0.644	0	0	0.704
SNRPC	TRMT112	9606.ENSP00000244520	9606.ENSP00000438349	0	0	0	0	0.324	0.252	0	0	0.472
THUMPD3	TRMT112	9606.ENSP00000339532	9606.ENSP00000438349	0	0	0	0	0.084	0.683	0	0.452	0.827
TTC27	UFD1L	9606.ENSP00000313953	9606.ENSP00000263202	0	0	0	0	0	0.605	0	0	0.605
UBBP4	UCHL3	9606.ENSP00000464265	9606.ENSP00000366819	0	0	0	0	0.062	0.701	0	0.107	0.727
