GeneName,X10.CR.RNA,X11.WTS.RNA,X12.EA.RNA,X13.CL.RNA,X14.KD.RNA,X15.SJ.RNA,X16.HZ.RNA,X17.CE.RNA,X18.RL.RNA,X19.DR.RNA,X1.VT.RNA,X20.MCC.RNA,X2.LN.RNA,X3.AS.RNA,X4.TL.RNA,X5.BE.RNA,X6.HA.RNA,X7.HH.RNA,X8.CN.RNA,X9.GC.RNA
KLHL17,1061,778,824,649,674,1060,610,537,1215,841,979,1079,1791,881,714,982,918,497,1213,1121
PLEKHN1,378,56,173,312,230,645,248,211,375,330,395,183,328,250,124,115,266,101,604,264
PERM1,203,29,78,120,139,287,132,104,166,189,215,102,141,121,78,80,127,60,310,124
RP11-54O7.17,50,12,68,54,165,15,8,2,33,10,78,82,4,47,268,101,18,16,4,64
HES4,627,413,2226,2408,3777,320,550,152,1659,949,2439,2142,816,1590,2966,2000,426,390,186,1503
ISG15,1908,697,2379,2680,4077,3730,3552,1970,4714,5001,3250,3288,1822,2483,1778,3129,1989,2373,4293,2450
RP11-54O7.11,1,0,1,1,1,1,2,1,2,0,4,1,0,1,10,1,0,2,1,1
AGRN,2066,2334,6195,8228,6376,3280,3482,12269,2737,4987,8877,4509,4372,8220,5696,4069,2036,3803,4962,7863
RP11-465B22.3,8,40,20,11,21,11,20,10,8,22,80,105,45,53,62,42,4,23,17,30
RP11-54O7.18,0,2,0,0,1,0,1,2,0,0,1,0,0,2,4,1,0,0,0,0
RNF223,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18
C1orf159,958,1406,1431,1134,1328,1541,1368,1545,1809,1412,1087,1375,2053,1229,1398,1916,1154,1084,1648,2142
LINC01342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP11-465B22.8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
TTLL10-AS1,0,2,0,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,1
TNFRSF18,39,5,9,15,19,6,23,67,78,31,10,66,41,39,108,262,31,79,20,26
TNFRSF4,15,0,14,10,0,5,1,3,10,18,0,14,9,9,11,50,10,15,5,2
SDF4,7292,23248,20420,25432,22225,17820,23311,40976,12335,19900,28261,20389,25337,38439,17831,11404,20165,22009,18196,20232
B3GALT6,4146,3934,6003,5841,5699,4983,4494,7241,5647,5739,6152,5391,5497,6168,4855,4728,5222,4131,5222,5633
C1QTNF12,212,145,308,140,301,179,378,262,476,184,103,329,253,181,234,536,353,267,254,250
RP5-902P8.12,12,3,22,25,5,6,7,0,22,10,8,17,13,14,33,32,14,6,9,6
UBE2J2,3163,6531,5807,5752,5269,5376,4851,6415,4732,4798,6833,5555,7272,6629,4488,4050,5460,4379,6350,5646
LINC01786,3,7,2,7,2,11,10,12,8,8,3,3,4,5,7,8,3,6,6,7
SCNN1D,204,131,198,144,104,161,154,183,236,91,216,230,227,227,412,346,137,185,140,219
ACAP3,6239,5880,8226,6360,6293,9816,5658,6070,8184,8018,7946,6292,8363,7710,9098,6546,5288,5419,8108,6705
PUSL1,3483,2642,4609,3617,3401,4376,3358,2811,4789,5359,3868,4808,3711,3784,3827,4480,3709,2871,3629,3503
INTS11,6999,6405,8212,6657,7453,8173,6159,6188,7914,8683,7846,8711,8297,8368,7761,6848,8433,6741,8268,7902
RP5-890O3.9,169,135,198,142,136,139,158,48,178,202,170,253,152,214,288,203,188,195,126,152
CPTP,4481,3036,5073,3478,5604,7048,4789,6771,4882,5866,4937,5712,4836,5496,4684,3049,5770,3787,5200,4898
TAS1R3,43,30,49,38,40,43,72,98,46,53,38,76,60,163,62,32,56,67,58,38
DVL1,3676,9172,7701,6838,7593,12706,6720,10557,4460,6322,11826,5837,14265,11912,7387,3520,5957,6028,10134,7654
MXRA8,18273,25856,39422,52155,41213,41651,33030,63252,29807,42047,51955,31092,29474,53534,30982,22025,43281,39200,38075,32966
AURKAIP1,19083,13596,17962,14121,18234,22986,15698,14160,20816,21752,18698,18518,20067,16670,17433,16943,18764,15781,23613,19081
NDUFB4P8,1,8,0,1,0,1,0,0,3,0,0,3,2,1,5,0,0,0,0,0
CCNL2,2107,4134,3635,3282,2684,3188,2830,4164,2739,2544,4287,2900,5216,5775,4651,2730,3408,3444,3908,3227
RP4-758J18.2,640,630,952,911,712,1121,763,1663,915,850,1027,707,788,952,556,739,797,600,1226,993
MRPL20,5734,5223,6559,6055,6833,7647,6030,4846,6573,7725,7242,6938,7261,6866,5914,5101,7614,5970,7980,6501
RP4-758J18.13,229,361,329,363,355,288,222,236,323,351,264,309,451,683,526,337,321,324,404,231
ANKRD65,86,71,396,236,34,294,96,69,199,118,150,135,113,382,168,200,140,201,199,120
RP4-758J18.7,2,1,1,1,0,1,1,0,2,1,2,1,0,2,0,2,0,0,1,0
TMEM88B,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
LINC01770,4,2,3,0,2,0,2,3,1,3,8,4,0,0,6,7,9,0,2,3
VWA1,264,820,1519,1629,525,746,392,1553,776,614,1461,760,591,1147,950,1296,790,506,1423,1240
ATAD3C,12,6,21,3,17,17,21,44,31,40,16,18,7,48,20,24,30,12,20,12
ATAD3B,5152,5332,6046,3471,4570,5767,3269,2356,6063,6126,3973,5670,8046,4932,5423,6198,5275,3769,6019,4817
ATAD3A,7737,8088,8449,6002,8845,12367,6549,6411,9868,10239,9203,6610,12248,7898,8003,5611,8317,6328,11363,9847
TMEM240,436,171,544,406,465,319,356,539,677,338,505,467,179,339,543,576,514,567,468,251
SSU72,13427,12091,15293,13559,15757,14601,12028,16428,15547,15115,16198,15299,15744,15130,14419,13018,16795,15113,17151,14832
RP5-832C2.5,107,56,133,100,130,74,53,78,213,116,95,110,75,107,111,112,143,118,100,72
RP11-345P4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
FNDC10,2762,1415,3040,2264,2673,3124,2200,2583,4634,5723,2906,2742,2303,3714,2666,2904,2023,2534,2660,2357
RP11-345P4.9,249,185,314,290,279,197,235,334,324,286,321,327,251,365,287,275,368,337,346,257
MIB2,3592,2328,4304,4576,3989,2745,3463,4055,4344,4431,4501,4712,3454,5311,5528,4641,4368,4632,3613,4072
MMP23B,0,5,13,10,21,12,2,5,20,6,7,6,8,13,7,2,10,5,1,6
CDK11B,2800,2375,2665,2327,2989,3543,2662,2679,3426,2300,3317,2672,2991,3058,2719,2603,3328,2884,3114,3161
RP11-345P4.10,0,0,0,1,0,2,1,0,0,0,0,2,0,1,1,0,0,0,0,2
SLC35E2B,235,1560,606,854,904,901,1412,3696,492,374,1918,983,1262,1476,953,511,811,848,940,991
RP11-345P4.6,4,4,9,4,2,12,2,7,2,2,0,19,10,4,8,6,8,4,5,18
MMP23A,4,0,4,1,3,3,2,7,5,3,4,2,0,3,0,3,2,7,4,1
CDK11A,791,835,674,529,588,1068,758,751,974,827,1557,1050,895,1016,119,693,854,621,1069,843
RP1-283E3.4,26,44,49,72,26,30,45,115,57,50,45,105,21,103,1,28,56,57,86,25
SLC35E2,81,96,76,75,71,104,103,173,98,59,184,137,101,121,0,74,82,73,129,85
NADK,1859,3257,2620,2272,3181,3625,2878,5301,2013,2178,3531,2512,4176,4159,1997,1338,3224,2541,4078,3052
GNB1,12257,29170,24881,25920,26903,28313,23611,41159,16372,20866,34873,21313,33322,40895,19577,12194,26681,23652,29582,26328
RP1-140A9.1,18,16,9,7,15,43,12,11,29,23,16,39,7,12,17,19,23,17,17,7
CALML6,55,14,24,8,17,12,1,12,29,23,15,18,19,27,108,28,31,28,14,24
TMEM52,20,44,95,17,94,43,38,36,20,102,11,99,101,21,31,254,28,50,18,62
CFAP74,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-547D24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
GABRD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0
PRKCZ,40,16,52,28,137,101,112,131,59,88,60,82,57,98,107,58,121,67,93,118
RP5-892K4.1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,3,0,0,3
PRKCZ-AS1,33,52,114,68,87,53,91,92,122,108,84,62,69,44,80,72,73,55,90,78
FAAP20,8655,5189,8707,7708,7264,8974,6337,6441,12664,11524,8018,9081,6903,7905,9219,8598,8986,9125,7929,7708
RP11-181G12.4,6,0,1,1,0,0,0,0,0,5,0,1,0,2,4,0,2,4,0,0
SKI,2650,8890,6707,8683,4978,5686,5805,8886,3417,3875,8376,6055,8424,10116,4830,4487,6764,9367,6018,5853
MORN1,185,113,185,240,216,167,138,257,246,129,227,254,209,278,265,257,226,216,197,187
RP4-713A8.1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0
RP4-740C4.5,80,36,95,78,69,36,57,247,72,58,112,146,104,54,115,156,106,84,73,170
RP4-740C4.7,6,9,15,2,11,10,6,13,6,2,11,15,8,22,10,5,5,26,18,9
RER1,6208,11786,10826,10836,10881,11444,9550,13190,7307,10748,14428,10327,14258,13171,7948,6192,11804,10544,11384,11616
PEX10,700,1099,1303,1253,1309,1431,960,1960,933,1080,1733,1145,1453,1596,1122,657,1258,1394,1434,1071
PLCH2,0,0,0,0,2,4,2,2,0,2,4,0,0,0,0,0,2,2,6,16
RP3-395M20.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,138,517,562,631,559,435,585,558,207,364,883,328,715,842,361,138,449,450,537,570
HES5,0,8,5,0,0,4,14,0,0,0,4,4,0,0,11,0,2,2,2,0
RP3-395M20.8,2,2,0,2,0,8,0,0,0,0,0,0,0,0,0,2,4,4,0,0
TNFRSF14,293,159,274,417,401,388,349,409,366,306,346,371,341,618,508,432,523,772,367,284
RP3-395M20.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP3-395M20.9,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,1
FAM213B,110,266,182,276,288,362,213,496,134,135,452,155,432,460,173,69,177,196,372,244
MMEL1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
TTC34,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2
ABC14-1188822O7.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-740P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
ACTRT2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00982,46,9,53,129,390,46,47,33,105,40,519,13,8,24,61,114,59,59,242,21
PRDM16,20,37,35,52,394,62,56,53,58,26,747,5,10,26,44,10,83,60,326,18
RP1-163G9.2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-193J6.1,2,0,0,4,6,0,2,0,4,1,4,0,0,0,4,4,0,6,2,0
RP11-22L13.1,12,10,20,73,50,8,12,10,6,14,48,2,20,20,10,14,27,26,48,38
ARHGEF16,199,45,74,3,54,35,45,16,78,92,6,157,131,33,48,63,147,16,4,131
RP11-168F9.2,0,4,2,1,4,2,3,5,5,0,2,7,8,6,3,4,6,0,0,1
MEGF6,12179,4931,19170,333,13671,6873,22144,11029,9504,12708,5848,22313,15145,21843,14106,12650,15668,6035,944,16133
RP11-46F15.2,8,12,4,2,4,14,3,7,11,5,6,8,7,9,3,12,3,0,9,9
TPRG1L,6504,6759,9003,7063,12633,10020,9947,13012,6742,10519,8470,9857,10881,14302,8470,5951,8917,8053,8331,7001
WRAP73,246,728,473,550,504,583,651,826,248,399,1054,552,883,702,343,226,489,567,603,809
TP73,20,2,8,12,4,10,2,2,26,8,6,13,10,4,23,33,10,16,6,10
RP5-1092A11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TP73-AS1,420,1150,721,898,639,841,628,1463,534,520,1074,576,1303,1446,708,395,729,677,862,749
CCDC27,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SMIM1,46,12,89,52,10,8,30,22,96,21,50,85,4,28,52,152,49,80,46,18
LRRC47,2546,3478,3394,3472,3486,3501,3398,3701,3096,3420,3677,3629,4105,4142,2847,3424,3427,3201,3453,3495
RN7SL574P,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,2,2
RP1-286D6.5,2,5,5,7,1,3,0,7,3,1,8,5,7,8,3,7,3,6,5,5
CEP104,1544,1549,1358,1671,2312,2708,1653,2729,1743,1968,1887,1729,1954,2248,1786,1179,2400,1659,2386,2299
DFFB,79,205,198,176,146,135,120,250,136,151,204,155,267,193,142,89,170,137,199,208
C1orf174,427,1607,945,1151,910,906,1100,1352,638,666,1310,1000,1546,1414,742,567,1024,900,1121,1100
LINC01134,30,6,12,17,15,9,14,37,8,12,19,22,21,16,13,23,25,18,13,16
LINC01346,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0
EEF1DP6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
AJAP1,252,16,184,531,537,823,3888,516,590,112,619,215,524,5461,2259,155,19,77,72,499
RP11-542C10.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-58B11.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,240,775,512,537,615,336,506,1064,262,360,597,495,925,976,323,376,479,457,571,651
KCNAB2,475,316,753,815,823,474,688,1184,923,876,926,663,617,1553,877,833,970,1097,1110,526
CHD5,111,22,42,15,47,34,67,44,40,49,38,36,26,177,83,84,49,12,8,14
RPL22,9372,12101,14217,14469,11864,10849,10702,16097,12046,12535,14480,14860,11943,14596,12182,13059,14435,14123,13671,13977
RP1-120G22.11,14,1,13,15,26,16,11,15,20,24,12,14,3,25,11,18,9,23,27,11
RNF207,112,26,64,92,91,90,48,125,159,59,75,99,90,113,81,75,84,149,169,102
ICMT,3826,13120,6374,6518,8404,12028,8432,13849,4675,5900,9503,5779,15244,10124,6260,3148,7448,7052,10258,11463
LINC00337,10,13,0,4,6,15,12,7,4,5,4,4,13,14,10,2,1,8,1,25
GPR153,1302,1803,2357,2059,1505,1063,2218,3262,1558,1630,1363,1309,1743,4530,2117,2059,1224,2316,927,1424
ACOT7,4496,7871,6695,4289,7467,9062,6220,6881,4698,5725,6701,4762,8643,9896,5658,2669,5659,4892,7052,7855
HES2,9,4,4,0,2,8,10,3,0,5,2,3,6,10,3,0,0,9,1,319
ESPN,12,1,36,17,5,14,12,7,24,19,56,58,17,60,24,37,8,14,16,39
RP1-202O8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,66,34,142,63,59,147,66,137,156,149,494,101,128,168,277,80,11,23,338,68
PLEKHG5,158,210,423,340,395,935,465,1048,326,496,2463,296,388,853,586,127,160,118,1915,348
NOL9,1479,2487,2147,1793,1822,2354,2041,2192,1964,1944,2272,2495,2974,2549,2210,1963,2570,2325,2730,2628
RNU6-731P,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,1,0,0,0,0
RP11-58A11.2,6,3,6,0,0,4,5,0,17,6,3,2,5,0,4,10,3,5,4,2
TAS1R1,14,2,38,20,26,34,36,20,43,20,6,41,14,30,38,42,16,19,16,6
ZBTB48,900,337,795,651,607,662,613,696,783,951,809,629,539,788,781,699,597,529,624,892
KLHL21,2385,12571,5706,6210,9099,5049,5825,6868,2379,4066,11048,6532,11088,11587,9454,2474,10718,13262,9842,5157
PHF13,1166,6399,2921,2317,4121,3311,4214,4018,1242,1501,5979,4147,4287,6775,5888,891,4663,5803,3873,3812
THAP3,694,587,847,829,818,1328,715,1557,741,838,1037,713,1082,928,558,738,929,651,1119,1164
DNAJC11,429,1471,1367,1620,1265,1568,1115,2093,598,861,2132,938,1972,2228,944,456,1222,1135,1692,1347
LINC01672,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0
RP11-312B8.1,9,0,6,0,7,11,4,5,10,8,5,2,8,2,9,9,11,3,5,3
CAMTA1,1200,2112,2616,2284,2682,2512,2208,2130,2229,2371,2699,2448,2258,2093,1822,1695,2429,2153,2612,2433
RP11-312B8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAMTA1-IT1,0,4,4,6,1,6,0,1,1,3,3,0,4,3,4,2,2,0,7,2
RP3-453P22.2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
RP4-549F15.1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,4,5,0,2
RP11-338N10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP11-338N10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VAMP3,2834,10678,6569,6285,7331,8722,7348,14699,4126,5448,9513,5879,9478,14782,6048,3658,7324,7122,7908,6370
RP3-467L1.6,22,9,19,19,23,40,12,17,42,23,34,49,24,10,43,26,19,24,21,32
PER3,271,2007,478,500,370,977,829,1031,267,378,581,649,1348,779,463,361,416,467,680,973
RP3-467L1.4,2,2,3,3,1,5,1,2,1,1,1,3,1,2,1,1,1,0,1,1
UTS2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
TNFRSF9,0,0,2,0,0,2,0,6,2,5,4,4,0,2,0,5,0,2,10,4
RP5-892F13.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK7,8624,13159,15621,15796,15016,15240,13486,16105,11980,14592,16747,14643,15463,16372,12057,9255,16303,14261,17013,14322
ERRFI1,954,7828,3433,6518,4024,1064,3368,1974,1433,2215,6162,3954,7380,11450,5624,1707,3321,3407,3303,2783
RP11-431K24.1,0,0,2,2,5,0,0,2,4,5,2,1,5,7,14,2,3,4,11,0
CTA-215D11.4,0,0,1,0,4,0,2,0,0,0,2,2,2,0,0,2,0,1,0,0
LINC01714,0,0,0,2,1,1,0,2,1,4,0,1,0,0,0,0,0,0,0,0
RP11-431K24.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SLC45A1,57,19,222,253,256,84,283,125,171,206,139,151,71,271,172,162,145,173,100,96
RERE,1157,2495,3033,2955,3056,3088,2510,6066,2052,2007,3659,2381,2904,3105,2065,1488,3234,3229,3213,2817
RP5-1115A15.1,2,3,2,2,0,3,0,0,4,4,2,1,4,0,0,2,6,1,1,0
RP5-1115A15.2,2,2,1,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0
RPL7P11,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RPL7P7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2
RP4-633I8.3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
RP4-633I8.4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
ENO1,78301,106401,119780,137924,100846,96892,78938,88024,85984,126434,105027,103194,109083,89605,82030,86545,127073,86235,116815,112723
ENO1-IT1,5,2,1,2,6,5,2,1,0,0,1,0,7,0,2,2,4,0,5,3
ENO1-AS1,1,0,1,2,2,5,0,1,3,2,4,3,4,4,2,3,5,4,1,0
RNU6-304P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HMGN2P17,0,2,3,0,3,5,1,2,2,1,3,5,1,2,0,2,2,1,5,2
RP3-477M7.5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CA6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC2A5,8,0,22,110,107,10,8,35,20,22,6,14,14,20,8,28,55,81,46,26
GPR157,136,464,451,207,290,289,288,449,174,225,264,460,887,677,373,204,453,634,189,314
MIR34AHG,90,113,209,115,100,181,142,171,246,166,180,138,249,258,438,137,129,146,162,112
LINC01759,197,51,170,164,158,215,234,167,337,296,159,306,104,271,272,342,237,293,152,134
RP3-510D11.4,18,14,31,20,20,24,42,29,31,37,14,45,21,41,48,25,35,48,21,36
H6PD,1810,3646,5436,7320,4433,4318,4982,13978,5194,3992,5030,6721,4953,9370,4817,5939,5902,7102,5514,4372
SPSB1,600,2847,1294,2112,1612,1122,1726,1962,858,548,1744,2625,2518,3540,4460,1197,1674,4017,907,1291
SLC25A33,467,1219,1040,825,1054,643,665,864,755,681,1237,1238,1135,1469,1033,664,1419,1245,899,823
RP13-15M17.1,2,2,1,0,0,0,0,2,0,2,3,0,3,0,2,2,0,0,1,0
TMEM201,1028,2700,1381,1096,1431,1222,1231,1749,1639,1541,1439,1872,2711,1745,1441,1591,1688,1578,2115,2513
PIK3CD,1961,2512,2224,1280,1093,2243,1238,2350,2386,1700,1733,3659,4204,1997,2001,2379,2229,2954,2081,2846
PIK3CD-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PIK3CD-AS2,198,40,180,87,60,59,43,31,157,107,51,223,42,59,115,330,124,105,47,70
CLSTN1,5348,15573,12874,16431,14924,13871,11410,22327,8101,10642,15662,11420,15663,20710,10308,7312,11379,13773,12887,13928
RP11-84A14.7,0,1,0,0,0,0,0,0,3,0,2,0,2,0,2,0,0,0,2,2
CTNNBIP1,1013,1219,1706,1546,1392,1758,1386,2082,1377,1356,2539,1554,1708,1569,1105,863,1670,1501,2299,1660
LZIC,464,1201,796,753,701,1017,750,1202,592,686,1079,889,1122,900,589,348,795,655,978,932
RP11-84A14.4,5,3,1,7,8,9,0,4,0,7,7,4,7,4,1,2,6,4,5,2
NMNAT1,614,509,613,627,746,1020,771,1381,679,708,1075,867,801,1057,596,402,831,607,823,773
RN7SKP269,0,6,3,2,4,2,3,0,1,0,0,1,0,4,0,0,1,1,0,3
RP11-84A14.6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
RBP7,31,4,6,13,20,8,6,3,21,6,15,14,3,21,8,14,32,8,4,14
UBE4B,1476,2412,2080,1910,2480,2220,2087,4307,1697,1820,3005,2283,2463,3719,2304,1556,3278,3600,2562,2106
KIF1B,4388,7696,7405,5132,5603,6396,5750,7070,6089,5467,7086,6830,8085,9673,7594,5505,7552,10719,5907,5983
RNU6-37P,11,4,2,2,4,10,1,4,7,12,2,12,4,1,13,8,4,6,3,2
PGD,2651,4751,8046,4424,7261,5427,5367,5843,5898,7535,5835,4160,5518,7426,5991,2917,3366,6078,5447,5006
RP4-736L20.3,6,3,0,0,0,10,0,2,0,2,6,0,3,0,0,0,0,2,3,0
CENPS,505,1381,811,848,945,1435,989,1434,655,730,1506,899,1487,1226,787,508,957,861,1441,1272
CORT,62,71,68,61,77,97,91,77,106,112,151,76,111,75,104,76,90,74,100,86
