#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAMTS7	HSPG2	9606.ENSP00000373472	9606.ENSP00000363827	0	0	0	0	0.175	0.117	0	0.296	0.442
ADAT1	GPATCH1	9606.ENSP00000310015	9606.ENSP00000170564	0	0	0	0	0.062	0	0	0.533	0.543
AEN	ENDOG	9606.ENSP00000331944	9606.ENSP00000361725	0	0	0	0	0.067	0.058	0	0.437	0.462
AEN	FAM161A	9606.ENSP00000331944	9606.ENSP00000385158	0	0	0	0	0	0	0	0.676	0.676
AGPAT6	MGLL	9606.ENSP00000380184	9606.ENSP00000265052	0.048	0	0	0	0.062	0.065	0	0.472	0.500
AGPAT6	LCLAT1	9606.ENSP00000380184	9606.ENSP00000310551	0	0	0	0	0.049	0	0.900	0.601	0.958
AGPAT6	CYB5R3	9606.ENSP00000380184	9606.ENSP00000354468	0.042	0	0	0	0.065	0	0	0.393	0.408
AGRN	NID2	9606.ENSP00000368678	9606.ENSP00000216286	0	0	0	0	0.065	0.376	0	0.466	0.662
AGRN	SRGN	9606.ENSP00000368678	9606.ENSP00000242465	0	0	0	0	0	0	0	0.505	0.505
AGRN	FN1	9606.ENSP00000368678	9606.ENSP00000346839	0	0	0	0	0.098	0.270	0	0.650	0.750
AGRN	DMD	9606.ENSP00000368678	9606.ENSP00000354923	0	0	0	0	0.062	0.281	0.900	0.901	0.992
AGRN	HSPG2	9606.ENSP00000368678	9606.ENSP00000363827	0	0	0	0.581	0.190	0	0.300	0.964	0.647
AGRN	ITGA7	9606.ENSP00000368678	9606.ENSP00000452120	0	0	0	0	0.099	0.102	0.600	0.374	0.770
AGRN	LAMA1	9606.ENSP00000368678	9606.ENSP00000374309	0	0	0	0.541	0.062	0.110	0.900	0.354	0.922
ALPL	MGP	9606.ENSP00000363973	9606.ENSP00000228938	0	0	0	0	0.062	0	0	0.515	0.526
ALPL	SOST	9606.ENSP00000363973	9606.ENSP00000301691	0	0	0	0	0	0	0	0.605	0.605
ALPL	SLC20A2	9606.ENSP00000363973	9606.ENSP00000340465	0	0	0	0	0.112	0	0	0.424	0.467
APBB3	RHOBTB1	9606.ENSP00000346378	9606.ENSP00000338671	0	0	0	0	0	0.481	0	0	0.481
APBB3	COPS7B	9606.ENSP00000346378	9606.ENSP00000362710	0	0	0	0	0	0.479	0	0	0.479
APH1B	TMED10	9606.ENSP00000261879	9606.ENSP00000303145	0	0	0	0	0.063	0	0.540	0.609	0.817
APPBP2	HSP90B1	9606.ENSP00000083182	9606.ENSP00000299767	0.047	0	0	0	0.107	0.217	0	0.209	0.402
APPBP2	TUBD1	9606.ENSP00000083182	9606.ENSP00000320797	0	0	0	0	0.140	0.056	0	0.416	0.485
ATF3	NFIL3	9606.ENSP00000344352	9606.ENSP00000297689	0	0	0	0	0.171	0.078	0	0.404	0.505
ATF3	HOMER2	9606.ENSP00000344352	9606.ENSP00000305632	0	0	0	0	0	0	0	0.443	0.443
ATF6B	HSP90B1	9606.ENSP00000364349	9606.ENSP00000299767	0	0	0	0	0.062	0	0	0.475	0.487
ATF6B	CAMK2A	9606.ENSP00000364349	9606.ENSP00000381412	0	0	0	0	0.085	0	0.600	0	0.618
ATP10D	MON2	9606.ENSP00000273859	9606.ENSP00000377250	0	0	0	0	0.110	0.212	0	0.270	0.443
ATP6V1G1	CCDC115	9606.ENSP00000363162	9606.ENSP00000259229	0	0	0	0	0.046	0	0.540	0.097	0.569
ATP6V1G1	C7orf60	9606.ENSP00000363162	9606.ENSP00000297145	0	0	0	0	0	0	0.900	0	0.900
ATRIP	ERCC4	9606.ENSP00000323099	9606.ENSP00000310520	0	0	0	0	0	0	0.900	0.266	0.923
ATRIP	C19orf40	9606.ENSP00000323099	9606.ENSP00000466121	0	0	0	0	0.062	0.270	0.600	0.602	0.876
BAP1	PSMD11	9606.ENSP00000417132	9606.ENSP00000261712	0	0	0	0	0.166	0.283	0	0.453	0.644
BBS1	IFT57	9606.ENSP00000317469	9606.ENSP00000264538	0	0	0	0	0.088	0	0	0.697	0.711
BBS1	DYNC2LI1	9606.ENSP00000317469	9606.ENSP00000474032	0	0	0	0	0.068	0	0	0.416	0.432
BBS1	PTCH1	9606.ENSP00000317469	9606.ENSP00000332353	0	0	0	0	0	0	0	0.527	0.527
BBS1	VANGL2	9606.ENSP00000317469	9606.ENSP00000357040	0	0	0	0	0	0	0	0.526	0.527
BRI3BP	DHX37	9606.ENSP00000340761	9606.ENSP00000311135	0	0	0	0	0.071	0	0	0.763	0.770
BTRC	GSK3A	9606.ENSP00000359206	9606.ENSP00000222330	0	0	0	0	0	0.243	0	0.447	0.564
BTRC	SKP1	9606.ENSP00000359206	9606.ENSP00000231487	0	0	0	0	0	0.999	0.900	0.994	0.999
BTRC	NUAK1	9606.ENSP00000359206	9606.ENSP00000261402	0	0	0	0	0	0.604	0	0.447	0.771
BTRC	CDH1	9606.ENSP00000359206	9606.ENSP00000261769	0	0	0	0	0	0	0	0.612	0.613
BTRC	DEPTOR	9606.ENSP00000359206	9606.ENSP00000286234	0	0	0	0	0	0.879	0	0.847	0.980
BTRC	LRP5	9606.ENSP00000359206	9606.ENSP00000294304	0	0	0	0	0.062	0	0	0.637	0.645
BTRC	NFIL3	9606.ENSP00000359206	9606.ENSP00000297689	0	0	0	0	0	0.368	0	0.254	0.508
C19orf40	ERCC4	9606.ENSP00000466121	9606.ENSP00000310520	0	0	0	0	0.065	0.377	0.600	0.874	0.966
C20orf194	ITSN1	9606.ENSP00000252032	9606.ENSP00000370719	0	0	0	0	0	0	0	0.611	0.611
C9orf114	TMEM147	9606.ENSP00000354812	9606.ENSP00000222284	0	0	0	0	0.063	0	0	0.433	0.446
C9orf114	CCDC115	9606.ENSP00000354812	9606.ENSP00000259229	0	0	0	0	0	0	0	0.505	0.505
C9orf114	DDOST	9606.ENSP00000354812	9606.ENSP00000399457	0	0	0	0	0	0	0	0.406	0.406
C9orf114	TRUB2	9606.ENSP00000354812	9606.ENSP00000361982	0.159	0	0	0	0.186	0.245	0	0.080	0.460
C9orf114	ENDOG	9606.ENSP00000354812	9606.ENSP00000361725	0	0	0	0	0.148	0	0	0.770	0.795
CAMK2A	RIPK3	9606.ENSP00000381412	9606.ENSP00000216274	0	0	0	0.566	0.048	0.057	0.800	0.063	0.806
CAMK2A	PAPSS1	9606.ENSP00000381412	9606.ENSP00000265174	0	0	0	0	0	0	0.900	0	0.900
CAMK2A	MEF2D	9606.ENSP00000381412	9606.ENSP00000271555	0	0	0	0	0.054	0	0.900	0.095	0.907
CAMK2A	IFNGR2	9606.ENSP00000381412	9606.ENSP00000290219	0	0	0	0	0	0	0.900	0.114	0.907
CAMK2A	HOMER2	9606.ENSP00000381412	9606.ENSP00000305632	0	0	0	0	0.062	0.075	0	0.535	0.561
CAMK2A	DLGAP1	9606.ENSP00000381412	9606.ENSP00000316377	0	0	0	0	0.231	0.213	0	0.439	0.631
CAMK2A	MBP	9606.ENSP00000381412	9606.ENSP00000380958	0	0	0	0	0.164	0	0	0.479	0.546
CAMLG	KCNE4	9606.ENSP00000297156	9606.ENSP00000281830	0	0	0	0	0	0.427	0	0	0.426
CASP9	RIPK3	9606.ENSP00000330237	9606.ENSP00000216274	0	0	0	0	0	0.063	0	0.459	0.471
CASP9	CAT	9606.ENSP00000330237	9606.ENSP00000241052	0	0	0	0	0	0	0	0.665	0.665
CASP9	CDH1	9606.ENSP00000330237	9606.ENSP00000261769	0	0	0	0	0	0	0	0.547	0.547
CASP9	HSP90B1	9606.ENSP00000330237	9606.ENSP00000299767	0	0	0	0	0	0.075	0	0.392	0.413
CASP9	FN1	9606.ENSP00000330237	9606.ENSP00000346839	0	0	0	0	0	0	0	0.422	0.422
CASP9	PTCH1	9606.ENSP00000330237	9606.ENSP00000332353	0	0	0	0	0	0.270	0	0.407	0.549
CASP9	SQSTM1	9606.ENSP00000330237	9606.ENSP00000374455	0	0	0	0	0	0.282	0	0.475	0.607
CASP9	ENDOG	9606.ENSP00000330237	9606.ENSP00000361725	0	0	0	0	0	0	0	0.735	0.735
CAT	HIBADH	9606.ENSP00000241052	9606.ENSP00000265395	0.052	0	0	0	0.065	0.348	0	0.161	0.450
CAT	OCLN	9606.ENSP00000241052	9606.ENSP00000347379	0	0	0	0	0.062	0	0	0.451	0.463
CAT	SQSTM1	9606.ENSP00000241052	9606.ENSP00000374455	0	0	0	0	0	0.137	0	0.408	0.467
CAT	HSP90B1	9606.ENSP00000241052	9606.ENSP00000299767	0.084	0	0	0	0.062	0	0	0.441	0.478
CAT	FN1	9606.ENSP00000241052	9606.ENSP00000346839	0	0	0	0	0	0	0	0.479	0.479
CAT	GSTA4	9606.ENSP00000241052	9606.ENSP00000360002	0	0	0	0	0.062	0.178	0	0.636	0.695
CAT	DUOX1	9606.ENSP00000241052	9606.ENSP00000317997	0	0	0	0	0	0	0	0.749	0.749
CCDC115	DDOST	9606.ENSP00000259229	9606.ENSP00000399457	0	0	0	0	0	0	0	0.523	0.523
CD36	GTPBP1	9606.ENSP00000399421	9606.ENSP00000216044	0	0	0	0	0	0	0	0.823	0.823
CD36	THBS1	9606.ENSP00000399421	9606.ENSP00000260356	0	0	0	0	0.062	0.663	0.800	0.860	0.989
CDH1	MMP11	9606.ENSP00000261769	9606.ENSP00000215743	0	0	0	0	0	0.058	0	0.607	0.614
CDH1	HGF	9606.ENSP00000261769	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.689	0.967
CDH1	THBS1	9606.ENSP00000261769	9606.ENSP00000260356	0	0	0	0	0	0	0	0.463	0.463
CDH1	SPINT2	9606.ENSP00000261769	9606.ENSP00000301244	0	0	0	0	0.232	0.057	0	0.241	0.402
CDH1	MTA3	9606.ENSP00000261769	9606.ENSP00000383973	0	0	0	0	0	0.064	0	0.410	0.424
CDH1	VANGL2	9606.ENSP00000261769	9606.ENSP00000357040	0	0	0	0	0	0.132	0	0.371	0.431
CDH1	PTCH1	9606.ENSP00000261769	9606.ENSP00000332353	0	0	0	0	0	0	0	0.457	0.457
CDH1	TIAM1	9606.ENSP00000261769	9606.ENSP00000286827	0	0	0	0	0	0	0	0.464	0.463
CDH1	SCPEP1	9606.ENSP00000261769	9606.ENSP00000262288	0	0	0	0	0	0	0	0.475	0.475
CDH1	CDKN2B	9606.ENSP00000261769	9606.ENSP00000276925	0	0	0	0	0	0.065	0	0.469	0.482
CDH1	RUNX3	9606.ENSP00000261769	9606.ENSP00000382800	0	0	0	0	0	0	0	0.517	0.517
CDH1	TIMP2	9606.ENSP00000261769	9606.ENSP00000262768	0	0	0	0	0	0	0	0.556	0.556
CDH1	LRP5	9606.ENSP00000261769	9606.ENSP00000294304	0	0	0	0	0.062	0.056	0	0.635	0.649
CDH1	DDR1	9606.ENSP00000261769	9606.ENSP00000427552	0	0	0	0	0.073	0.270	0	0.621	0.722
CDH1	CDH3	9606.ENSP00000261769	9606.ENSP00000264012	0	0	0	0.955	0.223	0.270	0.540	0.860	0.727
CDH1	PTPRM	9606.ENSP00000261769	9606.ENSP00000463325	0	0	0	0	0	0.700	0	0.181	0.744
CDH1	OCLN	9606.ENSP00000261769	9606.ENSP00000347379	0	0	0	0	0.158	0.097	0	0.833	0.862
CDH1	GJA1	9606.ENSP00000261769	9606.ENSP00000282561	0	0	0	0	0	0.061	0	0.864	0.867
CDH1	FN1	9606.ENSP00000261769	9606.ENSP00000346839	0	0	0	0	0	0	0	0.869	0.869
CDH1	LAMA1	9606.ENSP00000261769	9606.ENSP00000374309	0	0	0	0	0.064	0	0.900	0.187	0.917
CDH3	OCLN	9606.ENSP00000264012	9606.ENSP00000347379	0	0	0	0	0.076	0	0	0.430	0.451
CDH3	FN1	9606.ENSP00000264012	9606.ENSP00000346839	0	0	0	0	0.060	0	0	0.498	0.508
CDK2AP2	MTA3	9606.ENSP00000301488	9606.ENSP00000383973	0	0	0	0	0.062	0.355	0	0.158	0.446
CEP89	ZNF277	9606.ENSP00000306105	9606.ENSP00000354501	0	0	0	0	0	0	0	0.585	0.585
CHMP7	GABARAPL2	9606.ENSP00000380794	9606.ENSP00000037243	0	0	0	0	0.046	0	0.900	0.045	0.900
CHMP7	MAP1LC3C	9606.ENSP00000380794	9606.ENSP00000349785	0	0	0	0	0	0	0.900	0	0.900
CHN1	TIAM1	9606.ENSP00000386741	9606.ENSP00000286827	0	0	0	0	0.070	0.244	0	0.221	0.404
CHN1	COPA	9606.ENSP00000386741	9606.ENSP00000357048	0	0	0	0	0	0	0.900	0	0.900
CHN1	KIF5C	9606.ENSP00000386741	9606.ENSP00000393379	0	0	0	0	0.199	0.056	0	0.324	0.445
COL21A1	HSPG2	9606.ENSP00000244728	9606.ENSP00000363827	0	0	0	0	0	0.144	0	0.365	0.433
COL21A1	ITGBL1	9606.ENSP00000244728	9606.ENSP00000365351	0	0	0	0	0.049	0.061	0	0.497	0.511
COL21A1	STK17A	9606.ENSP00000244728	9606.ENSP00000319192	0	0	0	0	0	0	0	0.571	0.571
COL21A1	LEPREL1	9606.ENSP00000244728	9606.ENSP00000316881	0	0	0	0	0	0	0.600	0.285	0.701
COPA	TMED10	9606.ENSP00000357048	9606.ENSP00000303145	0	0	0	0	0.111	0.486	0.600	0.251	0.844
COPA	MON2	9606.ENSP00000357048	9606.ENSP00000377250	0	0	0	0	0.176	0.063	0	0.293	0.406
COPA	SCFD1	9606.ENSP00000357048	9606.ENSP00000390783	0	0	0	0	0.203	0.078	0	0.259	0.408
COPA	DDOST	9606.ENSP00000357048	9606.ENSP00000399457	0	0	0	0	0.233	0.405	0	0.107	0.556
COPS7B	PSMD11	9606.ENSP00000362710	9606.ENSP00000261712	0	0	0	0	0.117	0.380	0	0.206	0.527
COPS7B	DCAF6	9606.ENSP00000362710	9606.ENSP00000356814	0	0	0	0	0	0.167	0.900	0.206	0.928
CTDNEP1	PPP3CB	9606.ENSP00000461749	9606.ENSP00000378306	0	0	0	0	0.063	0	0.900	0.060	0.904
CUL7	SKP1	9606.ENSP00000438788	9606.ENSP00000231487	0	0	0	0	0	0.880	0.900	0.988	0.999
DAAM2	PFN4	9606.ENSP00000381876	9606.ENSP00000322170	0	0	0	0	0	0.369	0	0.208	0.478
DAAM2	VANGL2	9606.ENSP00000381876	9606.ENSP00000357040	0	0	0	0	0.065	0.139	0	0.449	0.518
DAZAP1	MEF2D	9606.ENSP00000233078	9606.ENSP00000271555	0	0	0	0	0.059	0	0	0.656	0.663
DCLRE1C	ERCC4	9606.ENSP00000367527	9606.ENSP00000310520	0	0	0	0	0.100	0.056	0.900	0.499	0.951
DDOST	HSP90B1	9606.ENSP00000399457	9606.ENSP00000299767	0	0	0	0	0.370	0.284	0	0.287	0.650
DDOST	TMED10	9606.ENSP00000399457	9606.ENSP00000303145	0	0	0	0	0.534	0.719	0	0.231	0.890
DDR1	INPPL1	9606.ENSP00000427552	9606.ENSP00000298229	0	0	0	0	0.062	0.285	0	0.178	0.401
DEPTOR	PLD1	9606.ENSP00000286234	9606.ENSP00000342793	0	0	0	0	0	0	0	0.415	0.415
DHX37	NOL12	9606.ENSP00000311135	9606.ENSP00000352021	0	0	0	0	0.146	0	0.900	0.076	0.914
DLGAP1	TBRG4	9606.ENSP00000316377	9606.ENSP00000258770	0	0	0	0	0	0	0	0.458	0.458
DLGAP1	HOMER2	9606.ENSP00000316377	9606.ENSP00000305632	0	0	0	0	0.062	0.126	0.600	0.524	0.823
DLGAP1	MAGI2	9606.ENSP00000316377	9606.ENSP00000346151	0	0	0	0	0.143	0.314	0	0.444	0.645
DMD	GJA1	9606.ENSP00000354923	9606.ENSP00000282561	0	0	0	0	0.065	0	0	0.402	0.417
DMD	SH3RF1	9606.ENSP00000354923	9606.ENSP00000284637	0	0	0	0	0	0.139	0	0.479	0.532
DMD	FN1	9606.ENSP00000354923	9606.ENSP00000346839	0	0	0	0	0	0	0	0.417	0.417
DMD	ITGA7	9606.ENSP00000354923	9606.ENSP00000452120	0	0	0	0	0.064	0	0	0.556	0.567
DMD	HSPG2	9606.ENSP00000354923	9606.ENSP00000363827	0	0	0	0	0.066	0	0	0.765	0.772
DMD	LAMA1	9606.ENSP00000354923	9606.ENSP00000374309	0	0	0	0	0.051	0	0.900	0.191	0.916
DMD	SNTB1	9606.ENSP00000354923	9606.ENSP00000378965	0	0	0	0	0.054	0.791	0.540	0.944	0.994
DOHH	NDOR1	9606.ENSP00000398882	9606.ENSP00000360576	0	0	0	0	0.224	0	0	0.357	0.480
DUOX1	DUOXA1	9606.ENSP00000317997	9606.ENSP00000267803	0	0	0	0	0.206	0.703	0	0.978	0.994
DYNC2LI1	IFT57	9606.ENSP00000474032	9606.ENSP00000264538	0	0	0	0	0.229	0	0.600	0.809	0.935
DYNC2LI1	KIF5B	9606.ENSP00000474032	9606.ENSP00000307078	0	0	0	0	0.049	0	0	0.470	0.475
EGLN2	SKP1	9606.ENSP00000469686	9606.ENSP00000231487	0	0	0	0	0	0.213	0	0.321	0.443
EGLN2	KDM5B	9606.ENSP00000469686	9606.ENSP00000356234	0	0	0	0	0	0	0	0.673	0.674
ERCC4	POLR2H	9606.ENSP00000310520	9606.ENSP00000415536	0	0	0	0	0.060	0	0.600	0	0.608
ESYT3	ORAI1	9606.ENSP00000374218	9606.ENSP00000480616	0	0	0	0	0	0	0	0.466	0.465
F8	TMED10	9606.ENSP00000353393	9606.ENSP00000303145	0	0	0	0	0	0	0.600	0	0.600
F8	SCFD1	9606.ENSP00000353393	9606.ENSP00000390783	0	0	0	0	0	0	0.900	0.049	0.900
FAM198B	MCTP1	9606.ENSP00000377396	9606.ENSP00000424126	0	0	0	0	0	0	0	0.527	0.527
FAM71F1	WBSCR28	9606.ENSP00000326652	9606.ENSP00000316775	0	0	0	0	0.062	0	0	0.713	0.720
FBN1	NID2	9606.ENSP00000325527	9606.ENSP00000216286	0	0	0	0.544	0.314	0.059	0	0.417	0.447
FBN1	THBS1	9606.ENSP00000325527	9606.ENSP00000260356	0	0	0	0	0.117	0.079	0	0.653	0.693
FBN1	TIMP2	9606.ENSP00000325527	9606.ENSP00000262768	0	0	0	0	0.109	0	0	0.484	0.521
FBN1	LAMA1	9606.ENSP00000325527	9606.ENSP00000374309	0	0	0	0	0.107	0.317	0	0.210	0.476
FBN1	HSPG2	9606.ENSP00000325527	9606.ENSP00000363827	0	0	0	0	0.184	0.233	0	0.717	0.808
FBN1	FN1	9606.ENSP00000325527	9606.ENSP00000346839	0	0	0	0	0.343	0.297	0	0.922	0.961
FBN1	MFAP5	9606.ENSP00000325527	9606.ENSP00000352455	0	0	0	0	0.173	0.213	0.650	0.927	0.981
FBXO10	SKP1	9606.ENSP00000403802	9606.ENSP00000231487	0	0	0	0	0	0.286	0.500	0.661	0.868
FN1	MMP11	9606.ENSP00000346839	9606.ENSP00000215743	0	0	0	0	0.081	0	0	0.661	0.676
FN1	NID2	9606.ENSP00000346839	9606.ENSP00000216286	0	0	0	0	0.253	0	0	0.448	0.571
FN1	HGF	9606.ENSP00000346839	9606.ENSP00000222390	0	0	0	0	0.062	0.600	0	0.827	0.929
FN1	MGP	9606.ENSP00000346839	9606.ENSP00000228938	0	0	0	0	0.090	0	0	0.818	0.828
FN1	SRGN	9606.ENSP00000346839	9606.ENSP00000242465	0	0	0	0	0	0	0	0.491	0.491
FN1	MMP24	9606.ENSP00000346839	9606.ENSP00000246186	0	0	0	0	0	0	0	0.628	0.628
FN1	THBS1	9606.ENSP00000346839	9606.ENSP00000260356	0	0	0	0	0.170	0.684	0.720	0.985	0.998
FN1	TIMP2	9606.ENSP00000346839	9606.ENSP00000262768	0	0	0	0	0.139	0	0	0.678	0.711
FN1	PAPSS1	9606.ENSP00000346839	9606.ENSP00000265174	0	0	0	0	0	0	0.600	0.070	0.612
FN1	GJA1	9606.ENSP00000346839	9606.ENSP00000282561	0	0	0	0	0.198	0	0	0.611	0.675
FN1	TIAM1	9606.ENSP00000346839	9606.ENSP00000286827	0	0	0	0	0	0	0	0.401	0.401
FN1	LRP5	9606.ENSP00000346839	9606.ENSP00000294304	0	0	0	0	0.096	0	0	0.386	0.421
FN1	HSP90B1	9606.ENSP00000346839	9606.ENSP00000299767	0	0	0	0	0.065	0	0	0.507	0.519
FN1	LRFN4	9606.ENSP00000346839	9606.ENSP00000312535	0	0	0	0	0	0	0	0.498	0.497
FN1	PTCH1	9606.ENSP00000346839	9606.ENSP00000332353	0	0	0	0	0	0	0	0.498	0.498
FN1	RHOBTB1	9606.ENSP00000346839	9606.ENSP00000338671	0	0	0	0	0.076	0	0	0.391	0.413
FN1	MYOCD	9606.ENSP00000346839	9606.ENSP00000401678	0	0	0	0	0.077	0	0	0.409	0.431
FN1	ITGBL1	9606.ENSP00000346839	9606.ENSP00000365351	0	0	0	0	0.158	0	0	0.392	0.466
FN1	MBP	9606.ENSP00000346839	9606.ENSP00000380958	0	0	0	0	0	0	0	0.468	0.468
FN1	LAMA1	9606.ENSP00000346839	9606.ENSP00000374309	0	0	0	0	0.077	0	0	0.459	0.479
FN1	OCLN	9606.ENSP00000346839	9606.ENSP00000347379	0	0	0	0	0	0	0	0.675	0.675
FN1	ITGA7	9606.ENSP00000346839	9606.ENSP00000452120	0	0	0	0	0.065	0	0.600	0.468	0.783
FN1	HSPG2	9606.ENSP00000346839	9606.ENSP00000363827	0	0	0	0	0.199	0.277	0	0.986	0.991
FNBP1L	ITSN1	9606.ENSP00000271234	9606.ENSP00000370719	0	0	0	0	0.076	0.161	0	0.369	0.468
FNBP1L	MYO1E	9606.ENSP00000271234	9606.ENSP00000288235	0	0	0	0	0.063	0.348	0	0.333	0.556
FNBP1L	SQSTM1	9606.ENSP00000271234	9606.ENSP00000374455	0	0	0	0	0	0.078	0.800	0.213	0.842
FRYL	MON2	9606.ENSP00000351113	9606.ENSP00000377250	0	0	0	0	0.477	0	0	0	0.477
GABARAPL2	VPS11	9606.ENSP00000037243	9606.ENSP00000481126	0	0	0	0	0	0	0	0.416	0.416
GABARAPL2	GBAS	9606.ENSP00000037243	9606.ENSP00000313050	0	0	0	0	0	0.311	0	0.258	0.467
GABARAPL2	WIPI1	9606.ENSP00000037243	9606.ENSP00000262139	0	0	0	0	0.148	0.180	0	0.865	0.898
GABARAPL2	MAP1LC3C	9606.ENSP00000037243	9606.ENSP00000349785	0	0	0	0.894	0	0.116	0.900	0.868	0.916
GABARAPL2	SQSTM1	9606.ENSP00000037243	9606.ENSP00000374455	0	0	0	0	0.071	0.898	0.800	0.992	0.999
GALNS	HEXA	9606.ENSP00000268695	9606.ENSP00000268097	0	0	0	0	0	0.138	0	0.405	0.465
GBAS	SKP1	9606.ENSP00000313050	9606.ENSP00000231487	0	0	0	0	0.098	0	0	0.574	0.600
GBAS	SQSTM1	9606.ENSP00000313050	9606.ENSP00000374455	0	0	0	0	0	0.365	0	0.304	0.539
GBGT1	HEXA	9606.ENSP00000361110	9606.ENSP00000268097	0	0	0	0	0	0	0.900	0	0.900
GJA1	MYOCD	9606.ENSP00000282561	9606.ENSP00000401678	0	0	0	0	0.103	0	0	0.417	0.455
GJA1	MBP	9606.ENSP00000282561	9606.ENSP00000380958	0	0	0	0	0	0	0	0.459	0.459
GJA1	SOST	9606.ENSP00000282561	9606.ENSP00000301691	0	0	0	0	0	0	0	0.471	0.471
GJA1	PTPRM	9606.ENSP00000282561	9606.ENSP00000463325	0	0	0	0	0.076	0	0	0.826	0.832
GJA1	OCLN	9606.ENSP00000282561	9606.ENSP00000347379	0	0	0	0	0	0	0	0.874	0.874
GLS	SLC16A4	9606.ENSP00000317379	9606.ENSP00000358794	0	0	0	0	0.049	0	0	0.518	0.522
GLYCTK	PGP	9606.ENSP00000389175	9606.ENSP00000330918	0	0	0	0	0	0	0	0.463	0.463
GLYCTK	PGAM4	9606.ENSP00000389175	9606.ENSP00000412189	0	0	0	0	0	0	0.900	0.065	0.902
GNPTG	INPPL1	9606.ENSP00000204679	9606.ENSP00000298229	0	0	0	0	0.077	0	0	0.660	0.673
GPATCH1	SUGP2	9606.ENSP00000170564	9606.ENSP00000472286	0	0	0	0	0.065	0	0	0.460	0.473
GPATCH1	SNRNP27	9606.ENSP00000170564	9606.ENSP00000244227	0	0	0	0	0	0	0	0.554	0.554
GRIP2	TIAM1	9606.ENSP00000480660	9606.ENSP00000286827	0	0	0	0	0.055	0	0	0.656	0.661
GSK3A	PPP1R2	9606.ENSP00000222330	9606.ENSP00000484580	0	0	0	0	0.063	0.441	0	0.107	0.491
GSTA4	SULT1A1	9606.ENSP00000360002	9606.ENSP00000378972	0	0	0	0	0.062	0	0	0.390	0.403
GTF3A	ZNF277	9606.ENSP00000370532	9606.ENSP00000354501	0	0	0	0	0	0.057	0	0.475	0.483
GTF3A	POLR2H	9606.ENSP00000370532	9606.ENSP00000415536	0	0	0	0	0.097	0.058	0.600	0.280	0.722
GTPBP1	OXNAD1	9606.ENSP00000216044	9606.ENSP00000285083	0	0	0	0	0	0	0	0.613	0.613
HAS3	HYAL3	9606.ENSP00000304440	9606.ENSP00000337425	0	0	0	0	0	0	0	0.563	0.563
HGF	TIAM1	9606.ENSP00000222390	9606.ENSP00000286827	0	0	0	0	0	0	0	0.456	0.456
HGF	TIMP2	9606.ENSP00000222390	9606.ENSP00000262768	0	0	0	0	0.076	0	0	0.459	0.478
HGF	HSPG2	9606.ENSP00000222390	9606.ENSP00000363827	0	0	0	0	0	0	0	0.504	0.504
